figure,panel_metric,arm,run_index,step,value
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),3,20,0.20784998312592506
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),3,30,0.20343692786991596
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),4,0,0.22598793730139732
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),4,10,0.22311919275671244
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),4,20,0.22137949243187904
fig_msp_learning_curves,eval_lpips_last,Gain return (Ablation),4,30,0.21785856038331985
fig_msp_learning_curves,eval_lpips,RLVR checkpoint,eval-only,constant,0.21154583369692165
fig_msp_learning_curves,eval_lpips_last,RLVR checkpoint,eval-only,constant,0.21547726728022099
fig_msp_learning_curves,eval_lpips,Base checkpoint,eval-only,constant,0.21570572862401605
fig_msp_learning_curves,eval_lpips_last,Base checkpoint,eval-only,constant,0.22598793730139732
